PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_THREAT,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,video_id
0.038630866,0.33306324,0.062125895,0.15115492,0.074214846,0.14901006,0.014761648,0.05109187,Yp5Bi_feN28
0.15817076,0.4239118,0.089577995,0.33216178,0.11928117,0.09611504,0.334614,0.1382435,MTfspzTIK5Q
0.057165936,0.16483991,0.13017663,0.07600026,0.034438774,0.048245206,0.14111575,0.044128556,Tj46uhBWfrc
0.108278744,0.4336833,0.080905534,0.53949994,0.057635967,0.22481215,0.18068616,0.08938425,jxWWBaenvI8
0.13865568,0.34360644,0.23189566,0.20257513,0.2638598,0.122498766,0.2724121,0.21591453,4EyXdky3Ecs
0.05963401,0.19999029,0.044748597,0.17802978,0.052205306,0.0676783,0.35589725,0.07166497,iGU6fLZyKUc
0.13657962,0.36584687,0.074912034,0.23532464,0.20952588,0.17861499,0.17696525,0.17539255,_bnZTZicLS4
0.018679917,0.19176193,0.01228664,0.084797785,0.026785111,0.031226192,0.24481167,0.020058272,Eol3t-n4LKE
0.04355752,0.3212591,0.1510105,0.21793048,0.21375987,0.23444371,0.361168,0.085049696,MleVeyRdjlE
0.05098517,0.30007547,0.078108564,0.18636633,0.14542864,0.15987365,0.18547592,0.048575327,vJf0LyFlRP4
0.06257331,0.35487252,0.118584804,0.09614169,0.10854322,0.11848306,0.14796847,0.071926564,s5WKXVzwCxk
