PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,video_id
0.01665985,0.081015274,0.11163423,0.21542603,0.058205623,0.2636631,0.15970978,0.47210786,i1pffvrs5qg
0.021518974,0.09704863,0.16143946,0.26890707,0.041239288,0.1443009,0.16943999,0.59838206,N3mNEFLsd08
0.036336336,0.093626894,0.1643814,0.31057185,0.07113494,0.16931328,0.14020963,0.52438295,zaSAm9J-VNE
0.086087525,0.120079614,0.11890287,0.31791028,0.06684154,0.18825822,0.10959657,0.39447156,Xps_3GJ_FU4
0.103539884,0.14147985,0.17164297,0.28106648,0.10636304,0.30218795,0.5680319,0.33725035,Wz_9XpjNnpQ
0.03461955,0.020852828,0.031066377,0.26736197,0.02719403,0.032038834,0.4395876,0.24033852,wfdF5QmROKs
0.24991328,0.41847506,0.35201877,0.42587963,0.29004133,0.6825386,0.5394846,0.758977,q-R5Ry7fQFI
0.24418297,0.13467143,0.31610078,0.42448902,0.04674153,0.41389817,0.2686277,0.38933256,rUcERj70CYs
0.21539254,0.055321287,0.077340804,0.41224697,0.040391568,0.14938618,0.31886423,0.5762593,ca6_ddQhTKY
0.14059398,0.14206105,0.20481625,0.43782327,0.112136416,0.42123672,0.19864261,0.61367136,QKxSnHEOlew
0.11407687,0.060699876,0.07247683,0.38528115,0.06820227,0.14138463,0.095352605,0.38225657,x4tz0fFHVIs
0.07251463,0.102375135,0.0828603,0.28826904,0.20466398,0.11203203,0.16954456,0.2359448,3iseJGcBEqY
0.11472086,0.052540053,0.081513986,0.3058358,0.06312888,0.19188176,0.34132192,0.26192006,qhh1aQDhd0k
0.22069082,0.1427634,0.203826,0.37436154,0.13711394,0.21361102,0.11541477,0.55969447,dPM4ypW_Edk
0.3170379,0.043765616,0.12039228,0.39276862,0.037268817,0.15294328,0.0786061,0.26933497,TXxbtUZNI9s
0.012911384,0.017521027,0.02402522,0.16714208,0.014060023,0.031578943,0.10046008,0.05075663,dh2EftJCefY
0.06412373,0.039349828,0.09256834,0.3516803,0.03987441,0.08674969,0.2681165,0.17152679,nLLPcdBEvis
0.016243355,0.027382476,0.021727867,0.32585016,0.057516854,0.020164808,0.21761632,0.21606664,e01WJ8JqLto
0.03856816,0.07043105,0.052527867,0.27771118,0.06057359,0.058517024,0.13643828,0.40902045,O4Vnp1DKqg4
0.023803791,0.13344148,0.16246243,0.3699203,0.09904035,0.31429228,0.11278643,0.7890741,PX-oejoANiQ
0.03856816,0.04482251,0.07127946,0.16447647,0.01223155,0.03021276,0.085108764,0.051615153,Sqknye-OD8U
0.01665985,0.08065379,0.09338225,0.34026164,0.07095925,0.20570558,0.32694831,0.5383176,agqXxsU3Kf0
0.010898319,0.024670718,0.030048901,0.24378595,0.0126742385,0.024449,0.22215919,0.2544162,62A2rpakT_Q
0.011523063,0.050338015,0.07727448,0.29895267,0.045190174,0.079048224,0.14026065,0.27254173,0tOQ5AaFJdU
0.03770977,0.06462823,0.10928014,0.26869342,0.03234287,0.11498874,0.5139589,0.45054933,zrq0FjZsI38
0.05613239,0.039654836,0.096499346,0.23738681,0.031232964,0.1709407,0.15750659,0.26343402,PxxUPW4BPmo
0.033074442,0.06483509,0.06536749,0.25753334,0.048416708,0.08813605,0.07810744,0.39977947,jqiaGC3BxBc
0.13790205,0.09945758,0.13419531,0.26504546,0.0156025225,0.13346346,0.708063,0.8559894,opPNDLGyrzU
0.012425472,0.02665568,0.047174707,0.33287364,0.039851956,0.06381177,0.111247204,0.2427654,qN177RfPPYA
0.18055865,0.043534774,0.04589731,0.3763814,0.05175716,0.06338158,0.17902331,0.22594287,6aYQnlzbHZc
0.01721518,0.025595894,0.036015943,0.2854424,0.034450997,0.044738,0.21175525,0.24496564,378RM-rmKx8
0.1668969,0.10845642,0.13187033,0.23761106,0.06739856,0.23996969,0.37926295,0.5647852,ohQ6iyOTM04
0.02792408,0.05294738,0.04825209,0.35650223,0.058706187,0.09322541,0.1532902,0.28673136,VJZp5FsosGU
0.060927194,0.058457267,0.09005584,0.23639512,0.035919283,0.06496266,0.40935266,0.2789642,L5OybeRWhwY
0.017631676,0.04039983,0.04318584,0.221681,0.03285642,0.051331107,0.10812128,0.20846467,8e098vlWVIo
0.058130227,0.027938256,0.1434962,0.22991808,0.018987749,0.065975994,0.16622974,0.09276496,QVm-77tdLXc
0.01193956,0.04650357,0.03519067,0.39548612,0.08453947,0.040829193,0.23558314,0.27367553,9elcYUM6k-w
0.027752401,0.047763992,0.034307063,0.19865791,0.045819327,0.0481174,0.12194444,0.28266895,gOiick5SAa4
0.079307266,0.06934961,0.07095214,0.35970375,0.040984686,0.13375922,0.19391695,0.4872843,W44qM3jJmd8
0.13476147,0.0739876,0.07763638,0.32838768,0.060535215,0.0932882,0.42071435,0.5734676,lkJPlLYuSgg
0.025692256,0.038290408,0.03380161,0.34398365,0.03429143,0.078905456,0.26795527,0.36042753,u4sqGxGqmwo
0.034104515,0.10122202,0.18947737,0.24141191,0.058815118,0.114207014,0.112372056,0.2643594,IColTjUqGlY
0.015410362,0.04203998,0.05604394,0.26932228,0.042158864,0.116361,0.22932284,0.32985124,0dqGRcpJS4I
