PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_IDENTITY_ATTACK,video_id
0.14041346,0.25195676,0.09738229,0.05093802,0.061588388,0.08690589,0.06427277,0.08394224,YEHI8sSrzf8
0.36645842,0.23507574,0.060728554,0.14193995,0.0190977,0.038881414,0.02567362,0.027688729,FTdfzVGODEU
0.26437175,0.36181277,0.15386237,0.23716165,0.05567579,0.17860508,0.096715115,0.123427756,_dsR7YrH84Q
0.1451515,0.2490977,0.08659152,0.04165838,0.1592344,0.13739318,0.12407238,0.35871294,UYr4CmV7r2w
0.27464107,0.1960686,0.13634023,0.09172598,0.11567966,0.06431828,0.09051786,0.07986476,laVebaRmKdA
0.12690383,0.28059772,0.17530285,0.035649624,0.1551447,0.14059518,0.14848787,0.21649474,X6F0UOpbw20
0.0902528,0.20448634,0.07729068,0.13476147,0.01684351,0.02692258,0.036993135,0.05626518,tzL8VxGQRiw
0.19506633,0.34318498,0.35138646,0.09763293,0.10386841,0.14981458,0.124229215,0.08900615,Uf6mtrcUj_U
0.36271244,0.17526779,0.075981624,0.10956893,0.02813851,0.046491638,0.03191515,0.050032753,re4aKD1mHAg
0.28423598,0.63850904,0.18209703,0.07690986,0.15344997,0.4937389,0.17425258,0.26154378,6SXp6ELaxsQ
0.15843652,0.7598894,0.13215241,0.06252546,0.027791148,0.10331767,0.0407553,0.03376315,14L8XVjus3U
0.21740879,0.19457524,0.08761814,0.047495455,0.055056218,0.02895564,0.024491549,0.040464144,S-C2A5hdJsM
0.1247605,0.17343779,0.05753925,0.03856816,0.013858008,0.031777535,0.01819,0.023308499,zrGfNHqzfbk
0.13739075,0.36500123,0.3637979,0.15976663,0.12529781,0.14391522,0.10934989,0.24150993,onAMhrVjuQk
0.16143644,0.56508446,0.28677633,0.0729142,0.06322564,0.13266698,0.08486053,0.12362667,zshzAysfLF4
0.25977737,0.29007128,0.14443702,0.026207292,0.07444129,0.06947727,0.05830458,0.1428051,ejRLEvOzFMc
0.19170874,0.38561958,0.303793,0.0023774996,0.091152884,0.15553579,0.112730786,0.105535954,SdeoY9x_82c
0.33269262,0.25287464,0.16086634,0.20669603,0.10947942,0.046149533,0.07349928,0.057385955,DhqZF9C-UOY
0.26294068,0.25700456,0.09182778,0.05493369,0.022390302,0.08003966,0.046682622,0.0635069,uKQjOethBb0
0.41463923,0.17864275,0.060437277,0.07730943,0.022911174,0.04731162,0.034565024,0.029147925,1LyEd-nQj7k
0.43937543,0.18633904,0.18072134,0.07131593,0.023569426,0.03609299,0.0355033,0.046021,0txiMcx7X8o
0.28190663,0.2601369,0.20796597,0.051737156,0.2066356,0.07803176,0.127809,0.23064038,uR5n8lMW1oQ
0.18305752,0.28600603,0.36829787,0.1580154,0.036301386,0.055861946,0.05169142,0.07049732,-5i5hM-ClIc
0.13528295,0.30287427,0.07858399,0.0717155,0.05932797,0.049305502,0.043101978,0.05042991,VkFK_2cti7g
0.2257681,0.20991474,0.15488261,0.44805592,0.44641715,0.050004013,0.24346992,0.21053848,B547a4OK0E4
0.12488358,0.1832287,0.069009475,0.15568043,0.041468628,0.031268004,0.033688817,0.039128356,n37Elwm6R6w
