PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_PROFANITY,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,video_id
0.032476522,0.14112912,0.03673297,0.048525527,0.033563763,0.040832512,0.28338033,0.2930386,NUME08cENa4
0.1159708,0.16508241,0.07847358,0.1835188,0.114716925,0.057287745,0.22975884,0.23797013,VK0glzTdE94
0.04020446,0.015993182,0.044586554,0.03444787,0.0587278,0.03468271,0.09603765,0.20471208,Baw9N64BPL0
0.14225243,0.32981223,0.15437512,0.13251819,0.11489621,0.17108837,0.26761103,0.35918278,F9o3PM70osU
0.025244208,0.16472542,0.022395726,0.038911518,0.047315206,0.021112895,0.07364019,0.22320941,OF8U7kONmSI
0.033465855,0.07483604,0.022745438,0.03358948,0.046577875,0.022476858,0.051603384,0.29902712,TqujNic2apc
0.077364355,0.09426906,0.073524944,0.03461955,0.08084713,0.0556612,0.17863898,0.25510532,r8QmxanBOXE
0.02800831,0.094826326,0.025740908,0.014716201,0.033913877,0.046345115,0.07985686,0.25821388,I6z8KaCR0u0
0.035097085,0.2795719,0.047431223,0.13745339,0.06452521,0.034145404,0.090214156,0.16738974,ro1Q4suPDyY
0.023543634,0.13493295,0.02343112,0.055732824,0.043241903,0.018684125,0.070421346,0.19832838,mQS9SB44UBc
0.07094939,0.014968312,0.10238214,0.04406188,0.070210256,0.20811054,0.18911731,0.5346262,XvKgJt4yWDc
0.15397507,0.37717834,0.18644136,0.22687212,0.14249566,0.2004827,0.38167247,0.3373749,YPX2Sj6fcBc
0.02646276,0.1488727,0.02033407,0.08420804,0.04427771,0.019505087,0.056007545,0.1679855,SRyGy6mgTZ8
0.07106917,0.13985744,0.09186733,0.087430015,0.08158581,0.091827616,0.32712647,0.29776448,txjSCcJBU7g
0.13015573,0.20204633,0.43463317,0.085282035,0.28890213,0.21729535,0.1932921,0.350385,kMw-tUA8uCU
0.12102,0.30393553,0.12571877,0.04680874,0.123539574,0.065307796,0.43892992,0.28984335,cUR97LXmbjo
0.052442692,0.109214865,0.036840815,0.15743166,0.0285403,0.042414654,0.24143855,0.289785,EwQU2z5mdUA
0.1079437,0.17721699,0.16510834,0.043031808,0.2470932,0.07384007,0.15349555,0.2908426,sC9c7So_It4
0.034861006,0.09715902,0.04284269,0.054534122,0.0262653,0.05506657,0.06989566,0.20359412,4zPGA-eeCdg
0.033507384,0.07089312,0.04314961,0.13790205,0.029781241,0.09291561,0.07627946,0.28641805,FD58pjM5kko
0.046890475,0.02709894,0.04007997,0.123736724,0.07344303,0.032155983,0.10933149,0.23168485,bdmX-UjgM8M
0.061586764,0.14970487,0.05826656,0.1473238,0.08202159,0.046821266,0.5362356,0.44982144,FA4_YUvS0vI
0.03386356,0.1351441,0.04290776,0.050242316,0.040748756,0.053077903,0.09692795,0.27307016,hTgq-6yDDCk
0.07700137,0.3354379,0.037571415,0.1689685,0.1125649,0.025154684,0.2564926,0.33347255,R0Lwf3B5xYM
