PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,video_id
0.37834352,0.067004986,0.080205806,0.05824646,0.0008980701,0.0595313,0.043707605,0.37379235,CyRGolNAMj0
0.55603033,0.22676268,0.67738694,0.6455678,0.0019089412,0.53214777,0.14283814,0.32474953,1CnkKL5yBJQ
0.066377655,0.071232304,0.031274553,0.025265533,0.019436494,0.040340208,0.17829007,0.1797232,KPHKgvOknNo
0.15535432,0.069467776,0.2040863,0.80613285,0.34466723,0.2748107,0.19018292,0.27238896,Zz5kkdvN_DQ
0.2919172,0.06370089,0.070563935,0.060090184,0.017631676,0.05857953,0.01743454,0.31432676,VrEa-CUnwHo
0.34189227,0.13870496,0.29267335,0.56336087,0.28021416,0.31521824,0.033190493,0.39082575,lEl_F3fw2m8
0.28657478,0.0651647,0.0376605,0.030105343,0.00022668677,0.047643606,0.09426927,0.25582126,qQjS38NDaQk
0.05086237,0.018790295,0.031990163,0.020314647,0.030842619,0.016833683,0.12083924,0.16163054,SAOGcoUej5g
0.19651419,0.14352609,0.10938379,0.089094035,0.019158829,0.12208716,0.40937895,0.32488215,dEG2jLAUdK0
0.3555025,0.1707614,0.096545495,0.062230386,0.03856816,0.07783159,0.028080342,0.36336544,qqs3aEFeAww
0.07281545,0.056634687,0.03955785,0.10264714,0.048868883,0.042219736,0.105244935,0.28974348,OLQ4NFPElZY
0.25657913,0.1721163,0.09732678,0.06038623,0.010134743,0.15174317,0.030294757,0.4260236,MgIRnS7F1S0
0.05495232,0.02769383,0.023790453,0.032144215,0.008815838,0.014034107,0.116879165,0.30077425,N-N3Bw06eIM
0.05913713,0.03620922,0.024360003,0.019529842,0.022945397,0.024093637,0.16460425,0.19753122,alNU9AVWkQk
0.09024338,0.08718182,0.049712155,0.042279135,0.017145762,0.06583657,0.19498678,0.27591702,qNxHx2g6svQ
0.03653179,0.025249906,0.018588888,0.009778787,0.043031808,0.011192805,0.27833706,0.22113396,kbYutOsrpvs
0.35179657,0.1909886,0.08944407,0.04245529,0.004754999,0.10646613,0.0053123245,0.37345418,VebQ9Cjp6DQ
0.53847784,0.11872491,0.22483046,0.06178005,0.0010933027,0.10587964,0.11931811,0.2608548,qx_6YJFRpGg
0.36459717,0.10776318,0.26200238,0.13925768,0.0070457286,0.31037375,0.1442039,0.3625981,KVeEfK72VNE
0.13291748,0.13727634,0.12985948,0.089574695,0.0068027726,0.096244395,0.13308796,0.27243876,ci_AIMCF-HA
0.36048052,0.06590196,0.17595866,0.10234292,0.073313765,0.09243503,0.08526274,0.30155745,BsG7sNjbBV4
0.33817285,0.062158678,0.076810114,0.06381919,0.019297661,0.08546561,0.0046857866,0.24100736,DMMAiOlkyCc
0.14007361,0.12047346,0.039587766,0.022394303,0.024662184,0.03296386,0.071954735,0.39443618,VXTiHhBnnvs
0.072100215,0.06403039,0.049957894,0.0525201,0.0026898717,0.048526015,0.016179767,0.33472413,hEoYL5j0wYU
0.23732631,0.10471237,0.06708246,0.047955077,0.013744377,0.096333496,0.092680335,0.2673293,G5M4bsxR-7E
0.061884064,0.02966327,0.031155689,0.023303589,0.014507953,0.02441437,0.4407935,0.19951907,eZIxHb5EgOU
0.039732985,0.024295032,0.022759223,0.019037245,0.013258465,0.01634131,0.089237474,0.17118974,HLaVgxIYQRI
0.07242826,0.0643547,0.041856688,0.037214756,0.012772553,0.034358583,0.03806353,0.36314598,LphAy48XMAY
0.2902756,0.057950247,0.08026664,0.03464386,0.012564304,0.0383056,0.039324075,0.4538767,abcKL_x_aoA
0.50859827,0.19913292,0.16428222,0.116611354,0.020824814,0.19550976,0.034349065,0.38981918,mhYsUeE7Cy4
0.050801057,0.03110549,0.017380366,0.025742304,0.025005542,0.011530417,0.18659064,0.34818405,TnrxayQCLY4
0.1963429,0.07488721,0.04934299,0.035631146,0.038911518,0.043979496,0.18588302,0.28974703,U8bBdU8auUs
0.32955763,0.06397125,0.0433948,0.039591055,0.010828903,0.053429194,0.027121518,0.41752505,zFELakN081k
0.06450342,0.04067395,0.034837864,0.0328161,0.09978092,0.03566063,0.10187051,0.19125694,Ln88zXmFSm0
0.41571715,0.09690335,0.12402608,0.09454087,0.032559406,0.09256171,0.008100437,0.47840858,LfnQkRU6tn0
0.29092747,0.16397655,0.12534134,0.07100533,0.019297661,0.1132496,0.013949457,0.41932544,yiSU4u0cIYs
0.09004381,0.045804672,0.034788657,0.021239322,0.0065945243,0.029945698,0.09683417,0.23784572,Eit19TTNvXs
0.20313837,0.033899847,0.16764179,0.07050156,0.08420804,0.062444407,0.06009795,0.24181457,1KqAXFhLbGI
0.10392103,0.055942055,0.12774469,0.07449123,0.044405237,0.054354705,0.07225309,0.27725503,S1JUIPwfQ_E
0.07411098,0.07383203,0.02692095,0.01826232,0.0024122077,0.029499361,0.08601372,0.22585548,bKtFYnrDXFk
0.30779117,0.11532756,0.10782912,0.044494268,0.03856816,0.096089564,0.044716187,0.3034463,TeNkIVaedLk
0.17561474,0.08172963,0.07243112,0.072614476,0.026207292,0.059522655,0.09227738,0.49715582,4gm9O_ro_qs
0.37228915,0.06685695,0.080889076,0.041328397,0.043718524,0.050113603,0.028452042,0.35009998,ZdOYcL7Q2wo
0.22242624,0.11531024,0.062722966,0.049132474,0.012841969,0.10384462,0.07879203,0.30094412,FtK65VH5OBg
0.5149721,0.1530267,0.14321701,0.11416251,0.006525108,0.15876234,0.00521362,0.44113392,vDrwgzgAyrk
0.21185492,0.13670479,0.10496841,0.10528026,0.0037658205,0.14075062,0.13530196,0.29264945,qAWso14U6DM
0.56715196,0.32342723,0.6517185,0.6291739,0.005275619,0.69309914,0.13356051,0.41379753,nGT5Ke9YzZg
0.06347631,0.062518165,0.055628885,0.05592811,0.02929751,0.053596936,0.10944429,0.25708786,mng0jth5ZgU
0.24517421,0.069372706,0.18388234,0.17762935,0.050585672,0.124649145,0.0002321459,0.44855446,f9Zsh1TQ-bA
0.3238579,0.069211334,0.052373532,0.045384012,0.013327881,0.05066263,0.034514472,0.4745329,fx9VcxJgVG8
0.12289065,0.056078326,0.17032641,0.056588076,0.030670939,0.07820492,0.043459345,0.24661002,qhm20rvDauk
0.22474255,0.11701234,0.19261195,0.15825146,0.043031808,0.16134857,0.17147191,0.33954516,q1mHbZ6rKrs
