PERSPECTIVE_PROFANITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_THREAT,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,video_id
0.18212077,0.42833102,0.14064616,0.19239926,0.28728473,0.20314461,0.22553755,0.21571432,PbBft8SPpCA
0.10127196,0.38124818,0.1320582,0.079307266,0.08386448,0.21734795,0.10807272,0.09593603,BjS7c4PoHlg
0.14062905,0.44085678,0.14001073,0.08850401,0.1926915,0.48250547,0.12023372,0.12136381,2D6iqZLKhLY
0.087941885,0.35972956,0.09412325,0.042001735,0.02156391,0.1898549,0.09544601,0.09423319,MudPwoMxjQI
0.11025413,0.2205556,0.1028634,0.06652113,0.10945993,0.14283533,0.094538234,0.12260898,cY9lM73ie0Q
0.11576919,0.3334061,0.071015395,1.0439522e-05,0.0010024835,0.29231128,0.052367505,0.09159797,3MgXegC5eKQ
0.10437755,0.29458827,0.057544112,0.01527153,0.008824989,0.32880458,0.05305021,0.12703872,_LyfkjuWc9Y
0.29287365,0.5073704,0.24587314,0.16035037,0.095350824,0.46083748,0.3070705,0.36323377,bbCM_Y6wXnc
0.08549487,0.24401136,0.09492713,0.013119632,0.030796178,0.07204867,0.0650083,0.07985527,pczpvTI8pzU
0.32953212,0.40873817,0.14426303,0.19239926,0.63988227,0.4153616,0.29635835,0.36531946,tClwCAFppn8
0.102700345,0.27003333,0.20187546,0.10515087,0.5113421,0.3869098,0.099494345,0.102175966,8K-xkPP7Hfk
0.210665,0.5003904,0.24454829,0.19338597,0.18061073,0.62169194,0.20959009,0.1868098,lDbFLYAQP7w
0.31035605,0.5021815,0.19492787,0.34575438,0.31265062,0.5803118,0.19183281,0.2585121,1dZMHj1n3cQ
0.14667651,0.43576905,0.20033233,0.021518974,0.09585302,0.34510002,0.14640632,0.16795957,vey47Q2JqIM
0.14331336,0.32772982,0.109356724,0.06971766,0.14677851,0.2458835,0.12549472,0.16024825,XCQOPsyp9Q0
0.06625193,0.38052365,0.1195635,0.35010305,0.5680319,0.15741934,0.13819714,0.08256399,Me4xQulh0rA
0.30812928,0.54909366,0.17604645,0.027752401,0.071835324,0.61997443,0.16173907,0.26993945,HPt1o0lxgx4
0.073178194,0.3917438,0.03992551,0.076110736,0.009244891,0.29670686,0.03710357,0.09484157,3ItNzYFh6dc
0.056292333,0.3301483,0.064971656,0.06492286,0.27893117,0.2819158,0.077308215,0.060376436,HdeBqbiqm20
0.5132509,0.22159378,0.19714217,0.5026305,0.42797107,0.1326206,0.73101276,0.16640896,TYP8mEe8ils
0.2119412,0.50602156,0.16405457,0.34684154,0.27866018,0.18076342,0.21714762,0.21541286,B4RB8chBNsE
0.17475961,0.39078754,0.16664076,0.053335425,0.5300078,0.21169963,0.18897004,0.19862133,FVDkogtYfmo
0.06039761,0.5068249,0.06503012,0.009440582,0.048104886,0.23935305,0.061496004,0.09694598,_GmzTgUGPU4
0.5153169,0.49875432,0.47765404,0.42465788,0.3291371,0.75896174,0.6549046,0.44517726,Gp9C-ebT24o
0.25778377,0.5215908,0.28894666,0.3897107,0.15991056,0.3868951,0.26430294,0.2695605,iIfE6699TqU
0.041739427,0.41372105,0.08603596,0.06252546,0.15795732,0.101852745,0.09146569,0.054345712,MKwWpZEuLTs
0.14026918,0.23369198,0.19807109,0.15918289,0.2772918,0.53781426,0.10059447,0.11002189,7OgAuSsEA_4
0.18162985,0.346451,0.104873426,0.0024122077,0.0019362429,0.377819,0.07191344,0.1965622,PRIoYyDRLxg
