PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,video_id
0.049883865,0.014369122,0.064826496,0.18260582,0.040249452,0.12655263,0.04298668,0.07987033,cyLtGj8dAJs
0.03763267,0.0072192685,0.038250804,0.21700321,0.033584982,0.122035295,0.042756476,0.12501231,zMho6swh59w
0.09835104,0.009093502,0.042399686,0.37132937,0.08719002,0.03862297,0.034727458,0.109620385,D834VT5oumc
0.21787517,0.025005542,0.37019217,0.36128622,0.30134195,0.008212371,0.18151811,0.763321,cM_Lr3oC4bc
0.039098475,0.008329925,0.017104635,0.24313456,0.019735921,0.07826676,0.01963202,0.07960265,AOE0WX30664
0.046769083,0.014855034,0.046057038,0.2704174,0.05466789,0.10387836,0.058819596,0.183749,Y32Csnt-1Pw
0.03853777,0.00930175,0.031678643,0.20876756,0.029434206,0.10303109,0.029017488,0.100729704,r0Nwfoevn1M
0.15016896,0.0022039595,0.10566763,0.39741924,0.08108242,0.05682171,0.062044792,0.22511972,hdDBvC7kop8
0.1171783,0.016035106,0.23302586,0.31448057,0.10883624,0.20396487,0.11960894,0.3818464,1hMer3vzTLg
0.18324415,0.030842619,0.34890047,0.3361718,0.298844,0.092785195,0.2508979,0.28056338,GqJwmJD0_m4
0.052880593,0.046465382,0.06567305,0.44821006,0.054460768,0.005301875,0.052668884,0.34085655,1WSS1kDXD4M
0.070640415,0.021657806,0.064221285,0.24402957,0.047990512,0.1716472,0.040739037,0.089457534,xyQjFKJIcaQ
0.06483476,0.035477944,0.08238984,0.2679289,0.06785719,0.08371051,0.062995315,0.22219367,nRMiQRiK5GY
0.1601646,0.016798683,0.1850978,0.56377745,0.10759699,0.123872496,0.122842856,0.38798314,TZLUFv0XG9w
0.21150598,0.028610796,0.058803774,0.54028857,0.09607134,0.11493383,0.07006143,0.108788885,2eFFu7ZvngY
0.0468522,0.030155903,0.03123669,0.27898458,0.0343181,0.08503286,0.022722624,0.23559207,O2Afpc800FE
0.079718955,0.055732824,0.078634016,0.23753633,0.09576762,0.18183573,0.109337315,0.15188824,k1pCKruO3qo
0.08615526,0.01999182,0.19993934,0.33010125,0.12518878,0.06183725,0.12535705,0.348618,2WbMz6Ypy9g
0.041355144,0.008121678,0.033641748,0.25560585,0.039419964,0.14444172,0.0349744,0.11904135,rRGYHFulzkQ
0.04776797,0.012217224,0.053557184,0.26595405,0.041004974,0.1757228,0.041757535,0.16543925,4wz8Kifsd4U
0.074684106,0.017006932,0.087548904,0.30741417,0.10879053,0.060969707,0.1463061,0.16910537,uf6EGvl7nJo
0.070919186,0.0028287037,0.062464304,0.22716828,0.07270898,0.22565942,0.052084874,0.18745337,Zfpk1f222Sk
0.15608501,0.013119632,0.25738257,0.28393778,0.24260172,0.07994116,0.17701063,0.23293102,hGQLyAeN1cw
0.14114492,0.018464668,0.12203515,0.49912456,0.14344153,0.10116413,0.11120567,0.45807534,iME0NtUNIEI
0.039507326,0.01561861,0.01915175,0.3403315,0.021610064,0.10219376,0.016189313,0.057508253,1GFst2IQBEM
0.04303207,0.017631676,0.1123191,0.17889795,0.09090721,0.18355444,0.08262279,0.20700145,kxSX6YJTS2I
0.026627857,0.062125895,0.020537285,0.23872188,0.018455649,0.2705833,0.013090991,0.16601084,lrfujWiTSCI
0.12649326,0.018048171,0.11118772,0.28606418,0.13763502,0.03845278,0.116024226,0.45998755,IU4A4h1ACJs
0.11389326,0.083939545,0.16918069,0.36816883,0.1466887,0.17728451,0.07218832,0.36752674,dROtlKn1DpU
0.04162587,0.014855034,0.054950826,0.2618807,0.04352394,0.091527194,0.04679971,0.16424051,eT_aJlC6uxU
0.02680595,0.026722329,0.112015314,0.17647259,0.042306438,0.15732937,0.08708523,0.10448217,OFB5v5GK3OE
0.05622024,0.018881164,0.10373841,0.3268604,0.06595833,0.07576887,0.06422722,0.3745389,fI8_N_JLDOc
0.019192448,0.003279908,0.056778293,0.27919716,0.015083348,0.046024658,0.021293359,0.06605557,LlHUx1-HTxw
0.07309151,0.022351967,0.07447136,0.20873292,0.07373008,0.14127608,0.07072044,0.120836034,VGFQIkEykxs
0.1651592,0.01263372,0.10777833,0.3478813,0.12809612,0.09153574,0.08744588,0.33756074,qVw8l8oTo0A
0.22005822,0.004685583,0.020069681,0.27480567,0.018723689,0.2725037,0.015630709,0.02741662,LZlg_YoxW6M
0.06623916,0.050242316,0.063160144,0.23697159,0.07596704,0.104893975,0.06390211,0.17886287,ukFqznolbb4
