PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,video_id
0.48683023,0.3437808,0.544162,0.28565666,0.2414445,0.19271827,0.24651168,0.18081343,0Z8hw9EIhVU
0.8422688,0.5851118,0.37727657,0.2441583,0.6647764,0.14964356,0.27790487,0.38239527,QDsSSA9jX1Y
0.55268866,0.01561861,0.379056,0.35571936,0.24206965,0.24151495,0.35444635,0.2225188,zkPaAdpttGU
0.6630325,0.052935857,0.13936472,0.2992209,0.308767,0.34149656,0.33035403,0.33279866,c-SCnYB9bk8
0.8063199,0.20449556,0.05076545,0.43936086,0.5612012,0.62758416,0.48174655,0.43504968,zv5lZNz4V5s
0.52502424,0.37360558,0.725384,0.25865436,0.25645763,0.12288226,0.18954864,0.15826912,K_8sBMc8hL8
0.8931145,0.3955794,0.6393174,0.3287491,0.70199466,0.6025891,0.38537994,0.5089589,VvKJzROmu84
0.86323464,0.42465788,0.37475207,0.2989338,0.5676373,0.39952534,0.25398654,0.49802685,ctJspIG4hms
0.682663,0.35756677,0.6492822,0.1881653,0.34255928,0.1984873,0.21740443,0.2321943,BL1XybPl5yA
0.69296455,0.046122026,0.3517949,0.29064655,0.2963859,0.5008472,0.19107975,0.18765639,YqWmY6DN_XE
0.7442035,0.14059398,0.09981744,0.40310916,0.47574562,0.55698776,0.3650273,0.31372145,Fdb46DGozIc
0.58523935,0.1609341,0.546034,0.3328852,0.2455368,0.15274164,0.20007497,0.1902543,7jMyXz2Lrqw
0.58523935,0.22983712,0.34076947,0.23951772,0.27409106,0.120967254,0.21306288,0.2333341,cjWd9I1pUQc
