PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,video_id
0.24829242,0.058040082,0.14555603,0.039947875,0.021657806,0.23195425,0.06435941,0.07271121,nvspHfsIoVE
0.40437803,0.18225883,0.52623785,0.21526997,0.061726328,0.17722431,0.08134606,0.15193817,EZNdiyJ_QEA
0.29529828,0.0626013,0.09335766,0.1010856,0.052136723,0.23103786,0.019311393,0.029858649,GEIetH9N6oo
0.35325497,0.054948892,0.084272206,0.08075712,0.0142302895,0.1382527,0.04706531,0.054898996,Dn7gWOPeUu8
0.3192548,0.099749975,0.14044297,0.105080016,0.023288755,0.04649189,0.034152158,0.04678463,qmN7MfOysXg
0.51444435,0.22087286,0.43961656,0.19825819,0.0030195978,0.057426702,0.21534665,0.18963432,iVvaBHyHbFM
0.32039282,0.1754714,0.2690471,0.14360097,0.0013796439,0.31211722,0.16192542,0.15860385,pqhmDeLg0LA
0.41507366,0.18626733,0.23532167,0.1706467,0.10461388,0.044675566,0.26341835,0.21353374,EKAfyZD8MGU
0.25962883,0.03335531,0.17152834,0.051561754,0.03856816,0.024731936,0.02434372,0.060193475,Y90K7wABx5o
0.3223076,0.021488393,0.0983923,0.03685029,0.049212243,0.34847116,0.029021619,0.024316339,8jiRTKhM9WU
0.33847225,0.08327083,0.17180982,0.06196084,0.038224805,0.10170562,0.08279073,0.069192864,o93IxHyEcbk
0.4592195,0.083437085,0.28557244,0.08371775,0.09602194,0.14226,0.1824043,0.16438702,YDcYCzWZ4Rs
0.30588758,0.15504424,0.5089645,0.12990105,0.02517722,0.14038424,0.11893295,0.14720485,0WyDAPkyChE
0.18668184,0.040303227,0.20882326,0.034385454,0.049898956,0.13394737,0.030666703,0.07467618,S-GLlNDpOtk
0.19509263,0.15672353,0.11737293,0.07774385,0.060927194,0.18154338,0.25925672,0.113988966,LZ_EVF1RC_k
0.4054508,0.08406168,0.38504568,0.12559341,0.0070804367,0.12832095,0.035751715,0.05284381,oTGMvmbXduk
0.30605853,0.50808775,0.12710378,0.05625792,0.22983712,0.278859,0.87215024,0.17998847,ftBvcrNaqrM
