PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,video_id
0.049095847,0.29104072,0.032302253,0.027322708,0.023517992,0.26497215,0.1008549,0.01728364,WUVpXW34QzM
0.21311091,0.41949087,0.20433487,0.060104806,0.04930718,0.050515793,0.059728492,0.11636863,0N5YRczTho4
0.13768141,0.3509242,0.070470616,0.18299219,0.14191134,0.16885595,0.03049926,0.16416459,AZ9rhY_S7H8
0.047647223,0.1421045,0.031030277,0.01711357,0.012068262,0.17739935,0.030670939,0.021903075,6szo1VGbhqk
0.76667595,0.21367489,0.12687624,0.22485034,0.19711545,0.5421299,0.2712817,0.17572571,k7epncZp9Ws
0.78789103,0.52001274,0.09109559,0.47946787,0.24484555,0.08453477,0.18154536,0.13678707,1jevBEIrl5c
0.3486694,0.5048502,0.13336179,0.1584195,0.11886285,0.29056364,0.119228795,0.14352536,ojW7sBT2Rv4
0.07112594,0.2883537,0.049245857,0.03910903,0.03962318,0.36021924,0.1609341,0.033169486,uYDsv4rOQjk
0.27847716,0.36775714,0.34221765,0.3834503,0.6106989,0.5606989,0.44805592,0.69309914,wP6gOD4XSr4
0.06489034,0.45291412,0.5727108,0.04212752,0.054363254,0.12839921,0.01596569,0.1947853,ghOMzehgliA
0.047647197,0.1421045,0.031030277,0.01711357,0.012068262,0.17739935,0.030670939,0.021903085,e9wSoUauoHI
0.35131612,0.3378725,0.028452834,0.06587673,0.13365288,0.55187273,0.17034957,0.037336666,klE0nunoFA8
0.07194661,0.39916003,0.05034771,0.038829587,0.042122386,0.1829101,0.030842619,0.037503414,_JnPHugL7kE
0.18660761,0.43460897,0.13896507,0.10416883,0.11963263,0.18373281,0.04165838,0.11377077,hw3atsa-ogQ
0.11869178,0.22292668,0.1399433,0.13119704,0.24931628,0.17556903,0.020963646,0.24317779,0N2zWgXwWcs
0.16974452,0.26729083,0.10263737,0.11154162,0.108968,0.21236356,0.17173064,0.101012275,iHm6d8B_PSM
0.14427735,0.42532313,0.119933166,0.346412,0.31166434,0.0940664,0.048525527,0.25910643,CuQJ0ziC4ow
0.056036197,0.20321326,0.040613126,0.038283367,0.04010174,0.05581992,0.0063515683,0.0466697,wb-EfMAfj5s
0.07365224,0.34559956,0.037813384,0.037307262,0.041371293,0.28381616,0.051737156,0.027376011,oAmmfwc77zU
0.1904481,0.46984306,0.19429976,0.4469491,0.29614675,0.40414625,0.37083253,0.28665224,Qt1eio7YFvM
0.06670258,0.16805066,0.039598998,0.030932574,0.022136778,0.17739935,0.016798683,0.035636835,egWoa-y0uOA
0.11621039,0.3426471,0.069371596,0.12393161,0.17044741,0.44054726,0.2885035,0.091405064,b5Hd21JCkM8
0.11560348,0.34260213,0.06362969,0.026509484,0.03256331,0.26337266,0.02262963,0.0323681,y6Q5adoqWD8
0.05571416,0.13524336,0.045477074,0.036443766,0.023565521,0.15304893,0.03994159,0.032610014,iohW5pcpOGQ
0.2711991,0.6784152,0.30315226,0.08477299,0.06243759,0.1048423,0.09279997,0.11646224,ElXCMT7OyNQ
0.14975263,0.33868113,0.119525425,0.072291695,0.119001724,0.03152023,0.025692256,0.106863715,cp0WeWgyoKg
0.084667355,0.30295324,0.10103123,0.059828755,0.14178343,0.277395,0.07371333,0.092835665,urkBFDxPoZw
0.09739764,0.26096147,0.05634552,0.12366101,0.053546224,0.49632642,0.08796701,0.07661074,Qxk0PNmG9Cw
0.11260229,0.37208486,0.064014226,0.03975382,0.04079809,0.18177243,0.008364634,0.045119636,kZPXFO4CE5g
0.21284619,0.33700714,0.14901742,0.05073667,0.039873466,0.009074131,0.009926494,0.11722029,gblyKwiOlRc
0.081049986,0.21934156,0.07182154,0.09409847,0.13083945,0.4732004,0.19936113,0.08699583,4Tiddap8H14
0.074147515,0.22311164,0.047927853,0.035458162,0.023415554,0.12769194,0.094410956,0.03280157,85cWIuiAZyQ
0.15056713,0.3295507,0.16234052,0.2380642,0.5827687,0.30883044,0.44820568,0.876051,BWWoSum7r8c
0.05271969,0.19053544,0.037572023,0.020182714,0.019419277,0.07882122,0.0112454,0.021405859,BjW917Dba5s
0.09124637,0.1689358,0.048137456,0.04896451,0.06086751,0.20437104,0.034791227,0.10647037,disC3agcvLk
0.5743521,0.56743455,0.5527904,0.23983295,0.31801054,0.31413683,0.11407687,0.4367855,UsNWCZIqAW8
0.08387779,0.28710037,0.09442858,0.09676359,0.20014903,0.19708002,0.031185975,0.1026754,yDHuv-6y2lw
0.06627639,0.40189552,0.08495545,0.0844051,0.30441764,0.5379438,0.13082063,0.09866196,mtl47W0CR20
0.098795146,0.21428366,0.07817656,0.05320659,0.07260364,0.06055438,0.013744377,0.072822064,f7TuV_3amhs
0.08159488,0.1991194,0.0509514,0.056666233,0.04151093,0.079407945,0.018881164,0.056325108,GNkUbSkKVBI
0.06912535,0.35367066,0.18556264,0.07183426,0.057500936,0.04500886,0.021657806,0.06452758,b5IbgLOT2Sw
0.1502397,0.34744725,0.08808586,0.053127453,0.16478312,0.20164144,0.030842619,0.117091134,1OnPg9KMduQ
0.28107426,0.3788406,0.09605032,0.17797719,0.13657877,0.20302801,0.036508016,0.11235931,WJxcOp0tjJ4
0.48874122,0.5333904,0.26757905,0.289298,0.2605677,0.06478982,0.08420804,0.25448543,iSAmBxc_9-0
0.2968488,0.44639307,0.16695552,0.1962246,0.11456015,0.06116994,0.09870692,0.1492627,NnNRzrtqmMw
0.07231961,0.49558535,0.1619103,0.10731016,0.07435828,0.07407536,0.04131502,0.085754074,aDIDtbpBPio
0.67453605,0.40177152,0.07578995,0.21222652,0.3626261,0.6701351,0.39694545,0.17874476,V_ZuYsT9sGk
0.047647223,0.1421045,0.031030277,0.01711357,0.012068262,0.17739935,0.030670939,0.021903075,nzupJDxvDC4
