PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_THREAT,PERSPECTIVE_PROFANITY,video_id
0.25532436,0.16547728,0.15448005,0.14475965,0.11472086,0.46861973,0.71223503,0.18280306,S9KdOYeGTZw
0.009839342,0.061518207,0.07562607,0.16603498,0.010551238,0.43335992,0.1611582,0.11575904,zTSc83wx5wA
0.4375236,0.19664693,0.714872,0.12765555,0.41665444,0.6035089,0.33633682,0.28265113,SJmri_r7IJ8
0.3767119,0.044189703,0.07399761,0.034666207,0.19789414,0.32232627,0.09863723,0.027676389,8MMBntaIizg
0.2856825,0.13742723,0.1577054,0.13359544,0.0825038,0.34357822,0.14678122,0.18503389,S2c3AtRnORk
0.14959781,0.097179435,0.12529102,0.18852042,0.016104523,0.3430629,0.2847879,0.16396044,TRi6D8eR5xg
0.13277718,0.14839268,0.118794985,0.08673624,0.021796638,0.41713148,0.24708088,0.122516446,NmTtNhp1oJY
0.14878477,0.2091366,0.17607129,0.24609011,0.22687212,0.5859691,0.5691415,0.17720057,VH__hJsLXho
0.055606686,0.27927503,0.2457637,0.36304104,0.0053450353,0.502335,0.42333055,0.26314682,Gq_pzaq9z_I
0.12605248,0.035455145,0.050213404,0.05491047,0.02792408,0.39848012,0.07957108,0.028939262,RzdrKNJiqFk
0.35998106,0.107406825,0.121720485,0.32147488,0.13879937,0.6462794,0.15096098,0.14041737,L7Ew0cc61ts
0.17633753,0.09502494,0.10075763,0.09750446,0.14418322,0.34342736,0.2369353,0.06882512,TcJx9PVEThE
0.15408257,0.03066322,0.022126747,0.030006468,0.029640866,0.19346422,0.04392568,0.025440434,_JotwkYHDhU
0.21918826,0.063140996,0.030801311,0.03342255,0.06372416,0.36139026,0.24412401,0.039709955,zBvdF6osgxs
0.15628542,0.04931861,0.11131086,0.08275717,0.2008281,0.35495266,0.13551189,0.079379715,n8QTBbodu9k
0.27854472,0.00926625,0.009560364,0.012235833,0.0021085124,0.1752401,0.023184637,0.007979808,twLdo1Tf4Bg
0.22106862,0.08797051,0.11042898,0.1541966,0.1785852,0.34922227,0.26998204,0.11886935,1lt4nEiAx4c
0.15647428,0.1897822,0.118199684,0.0741732,0.11472086,0.37979966,0.26776278,0.0833282,Z43J2cG4gNA
0.22248869,0.16266468,0.16367193,0.1266667,0.0765103,0.3956475,0.33733317,0.15453975,9qIp36RRk60
0.13632725,0.16170424,0.2974592,0.34823126,0.030842619,0.44082686,0.12105504,0.3847268,dWLK9GcvCtc
0.119274884,0.13527822,0.1410091,0.09109692,0.014299706,0.29355532,0.12310709,0.16805494,d1ZkbsKH9L0
0.09521318,0.029163728,0.055944383,0.046656415,0.046465382,0.38553995,0.07469957,0.039249927,a0DCQQozrT8
0.27732792,0.065929644,0.06091494,0.06592636,0.033246122,0.2385615,0.30412236,0.06039603,pTSZH9pDyaw
0.092415944,0.058998864,0.041137855,0.08207168,0.02124131,0.29165787,0.081653334,0.08854686,m3Unvv2KwHk
0.3946727,0.123161554,0.1639826,0.21451455,0.15334547,0.36993912,0.35960662,0.29392317,mI6EFCW97fQ
0.211594,0.12569314,0.15714599,0.17491823,0.010412407,0.5321986,0.21938594,0.14404447,U7Y5jJoF4c4
0.057979725,0.12988308,0.09065628,0.15808608,0.011800728,0.36523125,0.4884791,0.1756521,MHGGlYq6iWk
0.056178078,0.22475575,0.25609013,0.12380592,0.06931809,0.5759564,0.32510626,0.15265645,UAJEDVLk1U8
0.1809654,0.03613962,0.073129565,0.0365197,0.2712817,0.2773294,0.062218472,0.03496508,BtGLy-UOZAA
0.370198,0.11964505,0.16960596,0.3808786,0.05253629,0.5315238,0.25884777,0.3090456,_OPRrrB64_0
0.041801266,0.09452634,0.1897646,0.1985323,0.074912034,0.5259912,0.27431515,0.19944887,ajTAb7PhBvo
0.17309201,0.07862289,0.08601888,0.08693762,0.10892494,0.34211364,0.1033652,0.11969397,O8YmuvHn8Xo
0.27886936,0.26936346,0.12763028,0.12546714,0.062125895,0.45378676,0.4538574,0.111366965,WZXwU3WphHE
0.088723965,0.13720502,0.092696555,0.05640636,0.09333697,0.35301054,0.46990985,0.09468203,zWvai45DCIg
0.15554701,0.015931925,0.0078086667,0.028390305,0.0063862763,0.18425223,0.032842908,0.012322297,0YuDuU_5ubk
0.019181397,0.050392367,0.053660877,0.08147135,0.0073233927,0.35550952,0.30436218,0.08167954,TMqL9hTydfU
0.1871802,0.123939335,0.05606904,0.14647321,0.0069068964,0.40787047,0.40763572,0.118795864,2ji9lmb66ps
