PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_THREAT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,video_id
0.037190106,0.07091636,0.19295043,0.37266362,0.26316437,0.14113995,0.08154552,0.03838307,YM6k2pyyim8
0.01847152,0.13017663,0.03913768,0.24621703,0.38130954,0.049261577,0.031178115,0.12013025,HB39LLaOCgM
0.09463685,0.09279997,0.26741585,0.40987232,0.62843907,0.1356994,0.08658388,0.14094505,nfkPJYWiUrg
0.054333337,0.030842619,0.027398711,0.20849808,0.12297657,0.031543117,0.018555075,0.030307338,639OF1EodAA
0.1326434,0.0019176182,0.13340202,0.32488558,0.18584955,0.116044275,0.16349733,0.25678575,XmMD_1KBCIo
0.048013076,0.029984225,0.093957916,0.39327747,0.2111785,0.07492398,0.037772447,0.043003157,SGwNDGvffBw
0.04311473,0.08850401,0.27121106,0.31672284,0.1764349,0.054472726,0.04647494,0.03184489,_rofgBfVlfM
0.15012255,0.045091953,0.056387387,0.26832354,0.24256083,0.06052944,0.047090165,0.12715134,51jyRZeiGPg
0.056379095,0.014855034,0.07140062,0.22188072,0.7279288,0.02457412,0.03941458,0.06282712,eb3JAoY4wkQ
0.1643198,0.15568043,0.14774919,0.4043161,0.8602323,0.084701486,0.13147607,0.2942096,HorAGhRHyJw
0.12743515,0.021102477,0.08088374,0.23690663,0.43982297,0.052983634,0.07421902,0.1187279,YtJB5oikN3U
0.031404197,0.0070804367,0.12499335,0.3592334,0.19804274,0.08653112,0.054152638,0.030726878,pBwCNpYMJCA
0.048877895,0.022773718,0.097899154,0.47181576,0.12662753,0.07101696,0.04723598,0.03384817,Y7M8T0HAWGE
0.056106735,0.036851373,0.15009587,0.33800527,0.1886183,0.13694791,0.096409775,0.061202403,FdGf06a4LCU
0.121909276,0.1621016,0.13346636,0.48449108,0.38863996,0.5307228,0.3839475,0.18237545,anEuZft_ut8
0.10187698,0.1414913,0.22861591,0.34872663,0.26399142,0.09008813,0.11473111,0.081258066,c5zCa9GhbaM
0.05489843,0.032387726,0.07681596,0.21071373,0.13146614,0.026215702,0.026087329,0.051488962,CEz5A6PZEKM
0.034088317,0.1894391,0.10493573,0.30902454,0.4530932,0.041201252,0.08795634,0.083831035,xnhGmCx6cTo
0.03737121,0.010828903,0.0725736,0.42904678,0.032811567,0.13233915,0.05581573,0.052811608,p9_LCZpriwQ
0.2031461,0.03994159,0.32827088,0.56812876,0.106300205,0.21835838,0.20831656,0.17839989,cpg2jYrdgSk
0.025480883,0.08689302,0.067815274,0.25516894,0.1755099,0.04436167,0.025443055,0.019939763,g0bx8QjoTmc
0.096359946,0.07690986,0.27233398,0.50649303,0.03501969,0.12716927,0.066804536,0.07266089,c7fhwzuRoVk
0.12998663,0.11021292,0.14811255,0.40216193,0.18675438,0.09663429,0.11345558,0.26840279,lvBCkyip2is
0.12325726,0.21274342,0.28173786,0.4280966,0.38123915,0.080756195,0.11631714,0.12167801,ji2YzmBJFtY
