PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,video_id
0.052992847,0.020551521,0.02079708,0.020518497,0.3454997,0.046465382,0.03460238,0.10656111,dvJmKxiST4M
0.09663031,0.0719406,0.15614942,0.12699814,0.42388806,0.11085691,0.078541905,0.32615566,zi4i6e99Z1k
0.048835095,0.21819071,0.24029556,0.3417767,0.19156899,0.13431281,0.11779437,0.11286951,7WMSQNVhMqA
0.07543651,0.17024335,0.17631507,0.19669136,0.383228,0.14911842,0.08921311,0.45430508,1D_XCVzg86g
0.058077686,0.052753013,0.04332593,0.25239488,0.3259509,0.09279997,0.041180328,0.3531153,vc0V4uLZxqM
0.106608376,0.24362136,0.19523774,0.21317828,0.28835052,0.1530536,0.53635556,0.13301362,fLVyv7U0cX0
0.0309632,0.086207606,0.09036432,0.329935,0.3417992,0.21539254,0.09240343,0.7634732,VDhxbN7Dg1U
0.04905868,0.043702517,0.08980024,0.024337562,0.46617237,0.031014297,0.03901477,0.24565108,uZnJNgx3gUU
0.07728443,0.12733907,0.15435858,0.21305028,0.5259972,0.1710401,0.077595286,0.5905809,LjYvIsNBKbg
0.121474765,0.09155031,0.15572155,0.05806132,0.5175149,0.12051678,0.08908378,0.24313185,ILvxrQr5nVI
0.122469395,0.2501287,0.10346501,0.3947399,0.33874786,0.263611,0.1045977,0.19773965,2dbupGVu0As
0.08072963,0.055458054,0.054616053,0.275704,0.2845316,0.060927194,0.07173738,0.3292226,e9FrNYjr3L4
0.054938406,0.04576712,0.09612271,0.10301798,0.46076733,0.03358948,0.043004327,0.25790817,_43jzh7H1d4
