PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_TOXICITY,PERSPECTIVE_THREAT,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_IDENTITY_ATTACK,video_id
0.06937344,0.06062859,0.015757442,0.12196336,0.050535593,0.1896294,0.26857677,0.061311856,HBxyLnEzyhw
0.07798923,0.12182603,0.018881164,0.1165591,0.087483816,0.22701965,0.31675464,0.063670844,QR_LQQ-vvko
0.015818868,0.055792335,0.030327583,0.07375804,0.02595005,0.07867524,0.25167447,0.009028726,f4utF9IcvEM
0.054366488,0.016045006,0.00044035804,0.07155287,0.032071203,0.25553355,0.1477436,0.035479486,aiKFBPiquxg
0.019533342,0.024863154,0.012911384,0.036833957,0.013164987,0.22422239,0.19714767,0.024251005,XlfTXdGtddE
0.03538984,0.04048421,0.015826859,0.07838486,0.041335512,0.21762441,0.20229642,0.032218892,8e3OT2K99Kw
0.08105358,0.059861552,0.011106567,0.056759216,0.08170639,0.10979528,0.2843404,0.108253635,XV5VGddmP24
0.10717431,0.14456937,0.003262554,0.26046908,0.14332275,0.06517799,0.4156729,0.0932308,KytW151dpqU
0.021024073,0.036601864,0.009926494,0.05106297,0.027278863,0.12489301,0.18978493,0.021842886,bFPLx_d8tLc
0.06696727,0.08837346,0.0040955464,0.13346465,0.089106604,0.19101498,0.23331161,0.18477294,9et5cdVMy3U
0.0539705,0.067605786,0.0186035,0.26005137,0.052730516,0.13819945,0.3361396,0.03499233,O0Ka_nBRtN0
0.03523053,0.06853685,0.0112454,0.059363674,0.03807131,0.12504171,0.39091778,0.03352979,bqhQ2LWBheQ
0.042294145,0.08088658,0.0022907294,0.27045396,0.05942852,0.1477834,0.31951696,0.041537464,9lVPJ4aroZE
0.06629634,0.071306564,0.022945397,0.27670124,0.07463228,0.050047915,0.36931533,0.07383256,TtKF996oEl8
0.30286252,0.04946078,0.111500904,0.2717737,0.16765335,0.18530835,0.35294437,0.41557533,mLHIMulCHcM
0.049446706,0.13483727,0.020130653,0.35615844,0.09258307,0.03603504,0.43014902,0.08125132,1XqG0kaJVHY
0.050622467,0.058673337,0.011731312,0.08170266,0.05123055,0.039669238,0.26802713,0.04193247,J_LnPL3Qg70
0.06794285,0.0581839,0.0044773347,0.29999325,0.08312784,0.040027313,0.26195964,0.051714268,pYpFvmOx9_U
0.031747956,0.06932981,0.0023254375,0.2279941,0.051833212,0.014362327,0.43502307,0.04604309,aBHC6xzx9YI
0.032735202,0.06977579,0.04131502,0.18252555,0.077037744,0.06464241,0.2562469,0.044770937,zfiSAzpy9NM
0.034118813,0.090841204,0.0040781926,0.18192361,0.04215692,0.2473579,0.41959703,0.04626543,O2wYwFOMQ24
0.15739724,0.16507873,0.006212736,0.28251657,0.15635489,0.08173722,0.43144226,0.14670655,zQEiwJqqeeA
0.06120341,0.13956831,0.009371166,0.16694957,0.10424916,0.015769178,0.34176913,0.11508693,gVz9jKE_9iU
0.034622356,0.036273345,0.0090240855,0.08838181,0.035626907,0.09827935,0.2417994,0.07606357,pM9u9xcM_cs
0.24728799,0.049530614,0.04131502,0.08360925,0.08211397,0.3705192,0.2590247,0.11496048,RVMHhtTqUxc
0.029109472,0.09860072,0.025692256,0.08704835,0.049342733,0.19929822,0.28041896,0.0631257,iTXU9Z0NYoU
0.068443246,0.27245438,0.008086969,0.36160618,0.12449587,0.26235744,0.39030838,0.12007035,1vsmaEfbnoE
0.032578964,0.078359686,0.020269485,0.08423062,0.045251463,0.22809643,0.27739808,0.03254785,o-QLSjSSyVk
0.042983767,0.04799238,0.013050216,0.06720148,0.046882913,0.26762846,0.2313343,0.03514714,mexN6d8QF9o
0.054800555,0.15234755,0.00075923797,0.21815234,0.08687972,0.08176515,0.35738334,0.15974572,xLkk6MUrvrw
0.07641843,0.10597458,0.052136723,0.30034074,0.08538268,0.2853183,0.3284772,0.100191034,JS4AHSlYm0I
0.005403823,0.028910806,0.001613923,0.08289546,0.0125065055,0.13319299,0.23392583,0.0105254855,wr9gUr-eWdA
