PERSPECTIVE_FLIRTATION,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_TOXICITY,PERSPECTIVE_INSULT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_INFLAMMATORY,video_id
0.25249344,0.022211082,0.071936116,0.008677006,0.034283802,0.0199429,0.050913546,0.1989355,S0GVL8omNB8
0.51655364,0.16964938,0.547824,0.0224908,0.08495117,0.21628404,0.29763934,0.20518973,pLp1G4YQOIU
0.29913497,0.061021864,0.2949119,0.0090240855,0.122145765,0.055368226,0.137813,0.25049376,PcXEHQ9KY7Q
0.3218439,0.046258576,0.25561658,0.051737156,0.07596131,0.03413303,0.20734537,0.10202407,hpKPSdsGoxQ
0.4425238,0.13697669,0.8197914,0.14193995,0.17939548,0.049682256,0.30402946,0.28797126,1b5gcyXyXwQ
0.2674537,0.020229364,0.07180014,0.011175984,0.029971002,0.020151176,0.04492126,0.13365588,E4XNcAZaeSQ
0.19116002,0.031580873,0.07552275,0.012078391,0.03513291,0.02792486,0.084417336,0.19161582,hOJDewD4Qhw
0.2603212,0.02171167,0.043883342,0.0009544706,0.02358493,0.033996858,0.045099683,0.09781972,tnozroXZC3A
0.3809631,0.33226871,0.8763936,0.34388447,0.4291998,0.06790046,0.3759562,0.08384641,ZDoenSI9zKs
0.31565154,0.03111292,0.054626722,0.0017440781,0.03007827,0.041924223,0.06460938,0.028651545,abSjYSyimbY
0.42084882,0.15818204,0.81817186,0.18450552,0.19641432,0.06786144,0.2629613,0.3296197,xnLxXbBTFD8
0.2253413,0.12092762,0.77200735,0.12116077,0.12416519,0.032518078,0.16262591,0.45676768,mm48swwALnc
0.2972598,0.1113232,0.777796,0.17661177,0.1758116,0.024279635,0.18877761,0.44302377,w51I_t6R_kE
0.33938268,0.069892086,0.46219182,0.019714156,0.112279356,0.04565532,0.24382061,0.057977308,UL8gcqobMAY
0.3376519,0.06402831,0.5069966,0.031185975,0.07999609,0.13655698,0.166528,0.45001587,h5mWLMTa1qA
0.27888602,0.021448812,0.06199559,0.011453647,0.029721748,0.023450686,0.043248933,0.2040226,czEgldD05cI
0.28392124,0.048792977,0.11056688,0.020963646,0.047564305,0.059248384,0.11347835,0.02830025,ZgSiu6cj4B8
0.19140035,0.031171173,0.054972865,0.0009154241,0.025138808,0.033708896,0.05752466,0.27418733,DKGIaRcUdKE
0.26999468,0.021571318,0.03589082,0.0035749264,0.04174783,0.025428653,0.0642833,0.12326869,RwKft_Aqokc
0.25302222,0.020239007,0.12423545,0.012008976,0.017395725,0.02210933,0.037946016,0.21338965,j1bpnLUl8gs
0.2281578,0.014802171,0.05536557,0.011106567,0.02554197,0.016438952,0.040710997,0.16837066,sZ92-geeYBo
0.33930695,0.038199637,0.38991198,0.013883209,0.06290342,0.025637332,0.1951595,0.060399137,CqHTvYRM-y0
0.30816415,0.20595193,0.87276924,0.123736724,0.3266647,0.058902744,0.40760863,0.44324696,qaXjUC4Yu8c
0.30966455,0.04919808,0.47156665,0.12631269,0.06255668,0.02687999,0.12129401,0.19255963,L7glZvrN7BY
0.4824473,0.081451975,0.36008513,0.02262963,0.08774289,0.14631212,0.20788223,0.12341252,58ufMk6QAaU
0.3660636,0.09966977,0.6326965,0.105704986,0.14424142,0.04829499,0.2020221,0.39941084,B3uTylzUKDA
0.27287126,0.045485396,0.10418856,0.0112454,0.071209535,0.04561906,0.095556684,0.21234077,UClAhUcdtxo
0.15755598,0.020927204,0.05436907,0.007913429,0.022899788,0.021205368,0.051402725,0.23066835,fPOxtrcvs6c
0.18461755,0.069630526,0.11243949,0.14508054,0.1084275,0.039634217,0.23012863,0.2789803,wik0L3ICABg
0.44235837,0.08402576,0.6102993,0.11729682,0.11083093,0.051701244,0.13220882,0.36506423,ZuN2xbuL_UI
0.24780428,0.058042575,0.117685415,0.01631277,0.06130547,0.052558728,0.11396406,0.20473938,Zvlr-UZUPOs
0.1942102,0.02507299,0.05711031,0.0055185757,0.024327254,0.032609265,0.047178727,0.1919413,K_uJysbUr8w
0.38082469,0.13124526,0.60323423,0.2712817,0.23678742,0.07400271,0.22147359,0.0028569936,-qeMEu8Zj9Y
0.3493075,0.12020046,0.76112264,0.14418322,0.17012426,0.07879517,0.24956284,0.38738573,gyjsGZULxTM
0.5283335,0.15470295,0.60042155,0.10956893,0.10955265,0.14158188,0.18130304,0.4351786,kLBFz5JCGEo
0.1758467,0.06354456,0.08074883,0.052935857,0.07515904,0.03909671,0.15623897,0.3056149,CfrMCymSsEA
0.202684,0.062823676,0.073181115,0.013397297,0.0719932,0.03794493,0.11217254,0.1884988,Tp6XslcUJAA
0.24217097,0.025501983,0.07888898,6.480639e-05,0.027473055,0.03193079,0.05103944,0.13343641,6xHNheEZYNg
0.29461947,0.040062536,0.29545793,0.0253489,0.03518299,0.04563127,0.0864741,0.18183275,XsSswoonkjo
0.18787234,0.043240096,0.08647189,0.037194733,0.076263174,0.03220242,0.14512537,0.2744673,RVEUkSG3_u4
0.23704278,0.12794194,0.15724505,0.055333257,0.11536121,0.22280623,0.19303903,0.19079216,4MltmO8FJTk
0.2723919,0.12182398,0.7029665,0.09924392,0.115357846,0.040177315,0.19836274,0.24500689,ELsS32ofVmA
0.32740036,0.044493604,0.25578436,0.021380141,0.031646557,0.054313824,0.06720511,0.091180205,1BGia-rVLEY
0.2964145,0.17164424,0.7636343,0.09494796,0.18409038,0.052630443,0.24806921,0.27807128,Ai6Y6z97fKI
0.24626721,0.06683746,0.5396143,0.1423886,0.11944003,0.018103283,0.17212097,0.5318413,DoumtYXp3lo
0.32649988,0.10234199,0.78937507,0.17587385,0.18261954,0.029821541,0.18982644,0.47676274,TjVJCIoh1GE
0.26178196,0.028713634,0.074531816,0.0068721883,0.03274757,0.043284785,0.054173313,0.11098464,RHg-OF4eLwk
0.21365502,0.08694281,0.12815431,0.19862764,0.115099214,0.0554396,0.22067139,0.2632565,iVzAVuemF-Y
