PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_INFLAMMATORY,video_id
0.06689506,0.07627205,0.06754193,0.38476545,0.0388989,0.3076344,0.06412373,0.4472314,ANzaLU0MDHI
0.15133826,0.20243411,0.12557846,0.15510204,0.11807089,0.3432629,0.011731312,0.10619315,4U7BvpzdN-w
0.0843845,0.06827194,0.12910086,0.3059877,0.11555833,0.5016735,0.01721518,0.055936333,-_kKboxpR34
0.16749427,0.16164997,0.14556447,0.4189585,0.17305173,0.47037205,0.11407687,0.27629876,YsyKjAsz_yg
0.17098854,0.17640612,0.2564888,0.8908898,0.07085258,0.398095,0.07571117,0.26541987,iyXoQ3UdwOk
0.15568325,0.27144068,0.15889128,0.58155954,0.08499666,0.37638354,0.22979778,0.1549051,HqzGK8bkpus
0.120841056,0.19816494,0.22102728,0.80719227,0.04699393,0.40341988,0.039598234,0.0777278,bt4eafvv_mY
0.08345788,0.07511279,0.06176218,0.5424057,0.025821287,0.20102094,0.011314815,0.18943547,6wIU3NDPu0Q
0.038546942,0.12542899,0.06102604,0.37547398,0.05924227,0.2360239,0.09816993,0.7595767,HwHtu3yCKtY
0.1261554,0.10455526,0.11173106,0.672121,0.034177527,0.2111662,0.06652113,0.06794365,DXWUVSeWdsw
0.26824418,0.23782705,0.19615962,0.23757535,0.15871505,0.42016006,0.09816993,0.00026234257,0yN9JREW6Hc
0.009813939,0.048588205,0.019775841,0.020219976,0.0149072725,0.22087404,0.033761155,0.43857023,gV9b6WmEfC4
0.15794829,0.11250801,0.108363196,0.7587385,0.039156724,0.18068652,0.31725118,0.4625003,PO3zW704sVM
0.17250659,0.19213238,0.17960072,0.82345974,0.053908225,0.30402637,0.090114996,0.38454202,jcyyq--B8OA
0.044701252,0.04596823,0.048629902,0.2982019,0.040928513,0.27545014,0.029640866,0.20784108,jsjRlr3uwCA
0.14966536,0.11527867,0.1313916,0.6669925,0.057166316,0.2842442,0.1550967,0.40784788,tizsFEuXodk
0.40080425,0.47990924,0.76942354,0.8595432,0.1551757,0.39033312,0.23452865,0.33563918,m_XqqgnUWpE
0.042437274,0.041477975,0.036243137,0.28513837,0.03117132,0.33366296,0.061726328,0.4508169,wqtCN_N1U-Y
0.050645232,0.04337288,0.044800416,0.105016656,0.05209581,0.3175282,0.013258465,0.023117768,79TArBItZP4
0.04424023,0.03395976,0.036479477,0.22976631,0.034967892,0.19466548,0.005830948,0.12814397,IF017zfAG7k
0.05602237,0.062173564,0.07841725,0.44466424,0.04414268,0.31687763,0.035134587,0.5440017,tzOlP-OYFns
0.15607896,0.10937123,0.2306678,0.28792304,0.13013911,0.3369696,0.031014297,0.0083047375,wsfiVU1Ed3I
0.14253637,0.11798577,0.19196138,0.5375604,0.102093525,0.3472524,0.067320265,0.2766072,RJRFSCUOkjg
0.06662667,0.076153815,0.054435387,0.040765963,0.15790147,0.44014052,0.052935857,0.17292778,JbnO1SBNmrw
0.18940029,0.2338475,0.22927521,0.8541129,0.09700412,0.4314743,0.1464265,0.079681106,e1vcGnqLl60
0.083395846,0.07570594,0.056727715,0.5125951,0.05440526,0.32093126,0.14866976,0.628844,7lp7RaVc_cA
0.15685757,0.18184039,0.2807294,0.827217,0.04617496,0.30233476,0.26589394,0.3771347,UuWqlGZgEVo
0.20332068,0.1367454,0.1004627,0.25475696,0.16440247,0.35601163,0.0495556,0.1729989,xYZIcWU4lO8
0.09404707,0.102144964,0.14335383,0.23522171,0.06994418,0.4353529,0.051737156,0.06605169,zEwnBpZ0TVU
0.1351247,0.09153993,0.07969142,0.16631295,0.21859148,0.42549402,0.011037151,0.13433218,VW8HMKk3r5Y
0.21955618,0.12800398,0.16347422,0.3194778,0.20842195,0.4117212,0.03204437,0.25456232,OSRQnF2fJ3U
