PERSPECTIVE_INSULT,PERSPECTIVE_FLIRTATION,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_THREAT,PERSPECTIVE_TOXICITY,PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_PROFANITY,PERSPECTIVE_INFLAMMATORY,video_id
0.0438322,0.29122514,0.024888048,0.10928901,0.031357653,0.043377478,0.019346984,0.14250103,wxMiTIFPAjE
0.088249445,0.53577346,0.12856776,0.2702986,0.02193547,0.080247246,0.066749275,0.04004511,M4O-qXVL-Co
0.16027914,0.41174078,0.09536409,0.26774335,0.010204159,0.14708394,0.13046065,0.103927545,uP0yA-7sMgM
0.013234873,0.3532711,0.02455191,0.180021,0.017701091,0.034475513,0.018281206,0.07313706,i2Sgcmmv2Bg
0.036377266,0.25434217,0.03153675,0.052535437,0.028954152,0.024069462,0.023480745,0.07008857,Sz_tK2fuJRg
0.115896,0.38270655,0.14282629,0.2581977,0.20522906,0.15113191,0.14686811,0.24435648,5PV-exDY-hM
0.19218768,0.20816246,0.15298222,0.1559114,0.16965903,0.038442098,0.106121406,0.17588574,RhbKbLSiJTw
0.04655403,0.32241622,0.046262044,0.1593271,0.019158829,0.07356225,0.048531488,0.2882493,5WQXEHQlNM4
0.08435579,0.18990736,0.12961048,0.12216532,0.15130237,0.06473494,0.07613032,0.07314091,RYLI-kKwsZ4
0.1302911,0.33840898,0.19599785,0.60312253,0.28923595,0.12192252,0.15434039,0.19649114,KMlWbCQ48x4
0.06486094,0.27783018,0.07419528,0.1136645,0.04234509,0.12915295,0.0857399,0.43674028,fU-2x3N3QTk
0.11444036,0.22394101,0.30569872,0.2743929,0.07850813,0.052213475,0.11137323,0.3092181,ajOmhj8izfQ
0.11127461,0.26929864,0.20775673,0.34170026,0.1473238,0.13324094,0.15266156,0.111278415,UV4V1uEBVvs
0.16999453,0.47698563,0.23923737,0.4235336,0.13610743,0.15167505,0.14511597,0.12685843,4wD6_PpMcXc
0.11264229,0.23663083,0.08735139,0.09913418,0.49309984,0.03772942,0.07077319,0.07276204,9V7_OelWHoM
0.113629326,0.3349823,0.14038573,0.2313188,0.11407687,0.10674683,0.099551976,0.11629662,dhg0K7ybVF4
