PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,video_id
0.16976093,0.1379865,0.5151837,0.0925671,0.34624597,0.15527509,0.015063282,0.20582557,m5DJMRYDSc0
0.08124903,0.05416254,0.18108349,0.08001177,0.29058516,0.055750992,0.027752401,0.04936579,9kV7PNH3Gio
0.19188833,0.09403735,0.28364342,0.059877764,0.3988531,0.1211704,0.0053797434,0.17773995,_ikzZyiwsGU
0.42774513,0.58539623,0.8566084,0.34762156,0.45443767,0.48505947,0.39206567,0.53004646,Gf6WzTAgcLA
0.11142947,0.041741863,0.2675128,0.023417948,0.3443398,0.054884076,0.0669207,0.098212086,rDxPfQEKBHw
0.17499536,0.08415963,0.15616232,0.088639855,0.3551144,0.07960467,0.023632111,0.12692614,U1VYkfFgvVs
0.12615635,0.20007497,0.23021384,0.057056237,0.4797945,0.1925319,0.1668969,0.1024165,EmfNKttx1n0
0.09024438,0.0881279,0.055695266,0.15156554,0.35889786,0.047161818,0.07091636,0.05053063,NRwFRLH9ulM
0.06601155,0.087961644,0.22501904,0.100732096,0.35241735,0.06627166,0.03358948,0.056779873,N55JQubU1FE
0.14896865,0.16455817,0.88222325,0.33572805,0.33487606,0.5241668,0.21274342,0.22629926,aUHabt61HDY
0.056878556,0.04195914,0.11685729,0.08658813,0.3271851,0.06451975,0.031357653,0.03377342,9VsDP584zyQ
0.15169765,0.11196912,0.22997132,0.01498249,0.48485008,0.09438303,0.043375164,0.12428105,4yxiJugV-YU
0.049538378,0.12973754,0.07284228,0.07884975,0.26328063,0.093178496,0.087430015,0.06783624,8Dcd4BHJREw
0.50369114,0.30874452,0.34513858,0.08913786,0.5994918,0.20467758,0.17242117,0.510633,ycuEk_IRitY
0.20906335,0.06813721,0.38528648,0.16599333,0.51068395,0.11936987,0.029984225,0.13797128,SX6Vhj9wZh8
0.24385847,0.1892192,0.27710608,0.08217413,0.47577974,0.22770512,0.03358948,0.1965972,u4z7sBiGFA8
0.13882017,0.089923285,0.34890556,0.15983123,0.3531982,0.12059905,0.2008281,0.16711897,hRpnK0JXY1g
0.14333667,0.07807227,0.37199882,0.15344757,0.34599534,0.09551515,0.119872786,0.16300125,jE11JG2Et7s
0.07706773,0.057945628,0.2911888,0.03667567,0.31739914,0.093945555,0.08447654,0.10820236,GgJsQCBXXmk
0.187937,0.08346742,0.4406329,0.07087942,0.49212313,0.13377157,0.024318827,0.14377846,CMUe-gpNzus
0.16055655,0.43707475,0.31770208,0.09681885,0.38026053,0.15177062,0.06612156,0.25559655,1WIah0t1Bzw
0.13826114,0.10005983,0.2589637,0.072503895,0.41407925,0.08721516,0.021102477,0.12201569,3ukhXFkZYpo
0.049524214,0.065161936,0.26914373,0.09395539,0.4389038,0.097634375,0.1250247,0.046271212,T7TkoHtbyh8
0.0831153,0.0628125,0.26339093,0.10419549,0.37475362,0.060668416,0.0082952175,0.052097324,oQ--HZDG2ew
0.07353724,0.0978816,0.49346688,0.12294893,0.3496188,0.09711619,0.04680874,0.101793274,3yL0klflL0M
0.03994896,0.019117812,0.058045667,0.11229134,0.18706726,0.05745369,0.043718524,0.03196492,zcMOEvUWVTA
0.07783767,0.047554903,0.11040108,0.041753627,0.26431254,0.05476438,0.1580154,0.06424599,c1lu0QZFA8M
