PERSPECTIVE_SEXUALLY_EXPLICIT,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_TOXICITY,PERSPECTIVE_PROFANITY,PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_FLIRTATION,PERSPECTIVE_INSULT,video_id
0.0731139,0.40454903,0.17759849,0.2032149,0.20511658,0.17837061,0.2237172,0.3010676,Q4ukOyr_OSw
0.11660446,0.28895938,0.044748597,0.28462222,0.14773567,0.18719627,0.29481477,0.33291242,uBJEfR8RD2w
0.13320336,0.6350989,0.26817688,0.23609307,0.32062632,0.18905035,0.52755016,0.5122697,3AZFJoPPADo
0.7407407,0.3406238,0.087430015,0.50910074,0.2970587,0.15549769,0.50846267,0.34910107,h9JkBt4__vk
0.1396078,0.53115904,0.1414913,0.2821096,0.26778448,0.15857545,0.36044267,0.40115258,HZqE2HUvCZY
0.41077608,0.43191874,0.01721518,0.38720444,0.615398,0.011153158,0.63823223,0.25403816,piDlQSZ0n2M
0.07655336,0.26169506,0.10699297,0.15562299,0.18097812,0.37464285,0.25731236,0.24240051,8ZG3drj4YK0
0.17168662,0.35719252,0.08635602,0.18977016,0.4313294,0.13712315,0.44570744,0.23849799,aXI_7MEFxKY
0.06998151,0.102998435,0.050242316,0.146269,0.106776096,0.1353314,0.271565,0.32366472,IVDs2dQOyck
0.083942845,0.22022174,0.029812546,0.12515078,0.3041013,0.19710726,0.33065426,0.13767181,JFMLCGVINKg
0.060827933,0.3021367,0.05093802,0.11709833,0.136354,0.30166045,0.37493527,0.28897366,OiidtCI6T1g
0.095360525,0.28794152,0.13565879,0.17048393,0.4609325,0.049609747,0.31382525,0.22072327,5Qv9wuJqqU8
0.14078885,0.29522943,0.083939545,0.2808562,0.14368168,0.37941548,0.29475513,0.5600177,ka2nhrbaHs8
0.09205915,0.2901079,0.05253629,0.14942178,0.16354458,0.0874669,0.3533097,0.22743072,9Xx9uqNRSOg
0.19220892,0.41813716,0.13206954,0.2055589,0.56144804,0.32823667,0.44603515,0.2970033,kBnjEjBZggg
0.16171458,0.39597592,0.27045983,0.20884201,0.3044341,0.41701105,0.48446962,0.24116534,OC3wsE8FMZk
0.0683004,0.19722839,0.11472086,0.19791871,0.1439191,0.3475746,0.23825999,0.4718279,B90yWQeLH1g
0.1897468,0.5694204,0.15188612,0.30702496,0.6283032,0.07166307,0.4567516,0.32222632,WMmb7IVtPlc
0.2826951,0.423383,0.2712817,0.28627157,0.5528499,0.045143332,0.5196683,0.28826794,wEGyH5cMI50
0.1818239,0.24928689,0.22982925,0.34588414,0.20108864,0.26574874,0.23085162,0.4281601,bCgdRmL26l8
