PERSPECTIVE_FLIRTATION,PERSPECTIVE_TOXICITY,PERSPECTIVE_IDENTITY_ATTACK,PERSPECTIVE_PROFANITY,PERSPECTIVE_INSULT,PERSPECTIVE_THREAT,PERSPECTIVE_INFLAMMATORY,PERSPECTIVE_SEXUALLY_EXPLICIT,video_id
0.45880526,0.27359754,0.3957876,0.15629365,0.20071113,0.32708,0.85879964,0.20863438,O9hF5Yo1_Rk
0.21738972,0.08290337,0.26109394,0.08857843,0.11244353,0.16068375,0.58092993,0.063244864,3q1wOBVLJHw
0.2964344,0.23101798,0.18309076,0.1149471,0.18337855,0.33291495,0.38395086,0.07863636,WrZheAFpqLQ
0.25444233,0.1943727,0.047177248,0.05664824,0.0456829,0.141433,0.00019579334,0.039946336,qQbACnrgc2o
0.46577564,0.05133759,0.07772669,0.063048184,0.091091104,0.24972156,0.40891716,0.08977309,YfJq1K20YZg
0.2225812,0.07371333,0.17895626,0.13114256,0.23233134,0.118559934,0.33738217,0.06537086,oesJCQdkblQ
0.2935565,0.02397547,0.085265934,0.04127628,0.06385353,0.12170173,0.44181588,0.039897334,COAgIT61NjA
0.43027523,0.26132804,0.30253577,0.30713105,0.3393491,0.678577,0.1867692,0.22242695,U_Pr7lS6zU0
0.52409446,0.21362646,0.39538875,0.19560435,0.20377383,0.78585047,0.267413,0.12583876,Glwk8OskVAU
0.44407797,0.44805592,0.4379205,0.42991355,0.6406793,0.5800103,0.41099247,0.28282094,RSu_XYXSgz4
0.35093567,0.49688783,0.16830689,0.12247388,0.1774742,0.24192794,0.6340005,0.10258445,8emVCG1Jrnc
0.37537518,0.15159425,0.16929992,0.13532743,0.13843702,0.3037445,0.085024856,0.0939889,r3rVGrTknIk
0.36071756,0.103539884,0.5520259,0.19843428,0.4545171,0.50061125,0.20995454,0.107040025,WN5u1T4iXF8
0.2735521,0.09279997,0.38889256,0.104269564,0.14741978,0.15872543,0.25957426,0.08827218,AaB-XNwi1PM
0.27196628,0.054534122,0.14281629,0.09532077,0.06725707,0.3991231,0.030594952,0.07841538,HaSTzSIBgwg
0.5101161,0.04131502,0.36051393,0.1671875,0.20749807,0.41173407,0.044939615,0.17583743,LyZl8omsmn8
0.6680386,0.09279997,0.122418664,0.1368875,0.10570607,0.34943813,0.0034738418,0.23268342,awLgMJeD0Os
0.3796312,0.043031808,0.05546575,0.10135774,0.082120575,0.115552254,0.002986285,0.095028,7e2dmzJd7yQ
0.34764946,0.12953265,0.06866145,0.033243183,0.14650168,0.03752076,0.35766426,0.024162818,7qlJMEUSSWU
0.3744629,0.19338597,0.036876857,0.03487352,0.07858302,0.05113919,0.10793059,0.048047025,RLAL0rAD1TM
0.42326984,0.3598433,0.48276368,0.20611088,0.5409339,0.30625322,0.023702309,0.10822759,bF6ExHfRjqk
0.24368256,0.07730943,0.13942371,0.11456079,0.14924234,0.13241257,0.5680319,0.14928465,Yb7YTarMtzI
0.4814748,0.13879937,0.58293116,0.22987123,0.29269376,0.8587301,0.08047784,0.20755282,a_dMDE-BzNc
0.41600487,0.11665283,0.26674965,0.15277483,0.1094722,0.40976557,0.1276166,0.15099627,W-2LLrq4SdI
0.5716193,0.24242763,0.42919704,0.22217387,0.3800577,0.42996836,0.45849445,0.17101687,xHoJbgl9h_w
0.20820886,0.037023053,0.052799724,0.03526641,0.058744274,0.0270485,0.38127673,0.021616027,oi1StXx1p5M
0.2733258,0.045091953,0.08250688,0.08264672,0.114186205,0.049013093,0.14501724,0.046479773,bLOW1RvLQHo
0.4668763,0.094410956,0.19430211,0.18194066,0.23665948,0.49502626,0.29482967,0.15672038,JovkktIip0k
0.31827345,0.048868883,0.05294289,0.034995057,0.046582308,0.096568406,0.43704388,0.05708479,m9F3ayPoDIA
0.3100479,0.22990796,0.4622867,0.14790455,0.28270015,0.354279,0.8294702,0.09955027,L4DkztDjlak
0.21418904,0.05852979,0.12505804,0.08186064,0.23922545,0.06283909,0.47090057,0.043234166,enyep7yAKxY
